date,title,content,more
2014-9,房企金融化热潮,央行、银监会公布《关于进一步做好住房金融服务工作的通知》（930新政），通知明确规定调整房贷政策，二套房认定标准由“认房又认贷”改为“认贷不认房”。通知要求：对于贷款购买首套普通自住房的家庭，贷款最低首付款比例为30%，贷款利率下限为贷款基准利率的0.7倍，具体由银行业金融机构根据风险情况自主确定；对拥有1套住房并已结清相应购房贷款的家庭，为改善居住条件再次申请贷款购买普通商品住房，银行业金融机构执行首套房贷款政策；银行业金融机构要缩短放贷审批周期，合理确定贷款利率，优先满足居民家庭贷款购买首套普通自住房和改善型普通自住房的信贷需求。,
2014-10,,,
2014-11,,,
2014-12,,,
2015-1,,,
2015-2,去库存“核弹”引爆房价上涨,去库存；购房限制下降；房价上涨；二胎政策；万科年销售千亿元,
2015-3,鼓励购房政策推动房价暴涨,央行、住建部、银监会联合发文（330新政）：二手房营业税免征限期由5年改为2年；二套房商业贷款最低首付比例降至4成；公积金贷款首套房首付比例调整为20%。,
2015-4,,,
2015-5,,,
2015-6,,,
2015-7,,,
2015-8,,,
2015-9,,,
2015-10,,,
2015-11,,,
2015-12,继续去库存,中央经济工作会议强调“化解房地产库存”,
2016-1,,,
2016-2,政策加持房价暴涨,财政部、国家税务总局、住房城乡建设部三部门联合发布《关于调整房地产交易环节契税 营业税优惠政策的通知》：首套房144平方米以上房屋契税由3%降至1.5%；二套房契税由3%降至1%（90平米以下），由3%降至2%（90平米以上）； 2年以上房屋交易全部免征营业税，不再征收2年以上非普通住宅的营业税；4、北上广深仅适用第1点，第2、3点优惠不享有。,
2016-3,继续刺激房地产,央行再度降准,
2016-4,,,
2016-5,,,
2016-6,,,
2016-7,开始关注房价泡沫,政治局会议提出“抑制资产价格泡沫”,
2016-8,,,
2016-9,去泡沫股市大跌,央行为去杠杆重启14天逆回购，随后又重启28天逆回购，加大MLF操作力度，锁短放长，拉长期限提高资金成本，相当于隐性加息,
2016-10,加大调控力度，限购政策出台,国庆前后，房地产调控政策密集出台。自2016年9月30日晚间至10月6日，短短七天时间，北京、天津、苏州、成都、合肥、南京、深圳等多个城市先后发布新房市调控政策，后又有珠海、东莞和福州三座城市重启限购限贷，再加上严格房市管理的惠州，使得本轮全国加入调控行列的城市达到19个,
2016-11,,,
2016-12,强调健康发展房地产,中央经济工作会议重点强调“促进房地产市场平稳健康发展”，首次提出“长效机制”：要坚持“房子是用来住的、不是用来炒的”的定位，综合运用金融、土地、财税、投资、立法等手段，加快研究建立符合国情、适应市场规律的基础性制度和长效机制，既抑制房地产泡沫，又防止出现大起大落,
2017-1,,央行正式上调MLF操作利率,
2017-2,,,
2017-3,,,
2017-4,,,
2017-5,,,
2017-6,,,
2017-7,,,
2017-8,,,
2017-9,,,
2017-10,,,
2017-11,,,
2017-12,,,
2018-1,,,
2018-2,,,
2018-3,房住不炒,强调房住不炒,
2018-4,,,
2018-5,,,
2018-6,,,
2018-7,,,
2018-8,,,
2018-9,,,
2018-10,,,
2018-11,,,
2018-12,,,
2019-1,,,
2019-2,,,
2019-3,,,
2019-4,,,
2019-5,,,
2019-6,,,
2019-7,房住不炒,再提房住不炒,
2019-8,,,
2019-9,,,
2019-10,,,
2019-11,,,
2019-12,,,
2020-1,大疫三年开启,新冠疫情；三道红线；城市分化,
2020-2,,,
2020-3,,,
2020-4,,,
2020-5,,,
2020-6,,,
2020-7,,,
2020-8,,,
2020-9,,,
2020-10,,,
2020-11,,,
2020-12,,,
2021-1,,,
2021-2,,,
2021-3,,,
2021-4,房地产颓势,民营房地产企业几乎全部沦陷,
2021-5,,,
2021-6,,,
2021-7,,,
2021-8,,,
2021-9,,,
2021-10,,,
2021-11,,,
2021-12,,,
2022-1,,,
2022-2,,,
2022-3,,,
2022-4,,,
2022-5,,,
2022-6,房地产危机,以郑州为例，全国各地出现楼盘烂尾，交付延期现象,
2022-7,,,
2022-8,,,
2022-9,,,
2022-10,,,
2022-11,,,
2022-12,,,
